event,date,year,category,cosine_metric
Spanish Flu Start,1918-03-04,1918,disaster,-2.1214088029500324
Spanish Flu Peak,1918-10-01,1918,disaster,4.111899913625831
Polio Epidemic 1952,1952-08-01,1952,disaster,4.4344619788043245
Asian Flu,1957-02-01,1957,disaster,-2.888123443997498
Hong Kong Flu,1968-07-13,1968,disaster,0.15084818853875648
First AIDS Cases,1981-06-05,1981,disaster,1.4040053495010985
AIDS Identified,1983-05-20,1983,disaster,0.6655480066862786
Mad Cow Disease UK,1996-03-20,1996,disaster,13.327910204356717
SARS Outbreak,2003-03-15,2003,disaster,-2.839404725636755
H1N1 Swine Flu,2009-04-26,2009,disaster,4.546146868577586
H1N1 Pandemic Declared,2009-06-11,2009,disaster,1.841940421547271
MERS First Case,2012-06-13,2012,disaster,-2.352673077093977
Ebola Outbreak West Africa,2014-03-23,2014,disaster,-0.3360904795226871
Zika Emergency,2016-02-01,2016,disaster,4.141688002725875
COVID-19 First Case,2019-12-01,2019,disaster,9.956610800286187
COVID-19 Wuhan Lockdown,2020-01-23,2020,disaster,15.483011336395066
COVID-19 WHO Pandemic,2020-03-11,2020,disaster,8.757525160273426
COVID-19 Italy Lockdown,2020-03-09,2020,disaster,6.911385384863207
COVID-19 US Emergency,2020-03-13,2020,disaster,11.366499017716322
COVID-19 UK Lockdown,2020-03-23,2020,disaster,16.66093153973535
COVID-19 1 Million Cases,2020-04-02,2020,disaster,6.857984462763173
COVID-19 Pfizer Vaccine,2020-12-11,2020,disaster,6.942417001746501
COVID-19 Moderna Vaccine,2020-12-18,2020,disaster,13.764680298988296
COVID-19 Delta Variant,2021-06-15,2021,disaster,-0.43585328724479144
COVID-19 Omicron Variant,2021-11-26,2021,disaster,1.3772477005842725
Monkeypox Emergency,2022-07-23,2022,disaster,8.068765597838675
Suffragettes UK March,1913-06-04,1913,political,4.5450738401013
US Women Vote 19th Amendment,1920-08-18,1920,political,5.725922594717539
Montgomery Bus Boycott Start,1955-12-05,1955,political,12.36717789231696
Little Rock Nine,1957-09-04,1957,political,10.364898014679483
Greensboro Sit-Ins,1960-02-01,1960,political,1.0325240174237593
Freedom Riders,1961-05-04,1961,political,-3.137497525584929
March on Washington,1963-08-28,1963,political,1.034903513791748
Civil Rights Act,1964-07-02,1964,political,-1.2434183049053185
Selma March,1965-03-07,1965,political,-3.7055679749586945
Voting Rights Act,1965-08-06,1965,political,2.081038068409736
Stonewall Riots,1969-06-28,1969,political,2.7021094766372227
Kent State Shootings,1970-05-04,1970,political,-2.7257148288777016
Equal Rights Amendment,1972-03-22,1972,political,-3.7845169169298574
Roe v Wade,1973-01-22,1973,political,3.1519056517272355
Harvey Milk Assassination,1978-11-27,1978,political,13.668582533533968
Berlin Wall Fall,1989-11-09,1989,political,4.81284696176967
Nelson Mandela Released,1990-02-11,1990,political,3.7577308222007275
LA Riots,1992-04-29,1992,political,2.2505521751179463
Million Man March,1995-10-16,1995,political,4.759490602523964
Marriage Equality Massachusetts,2004-05-17,2004,political,-1.297182030841122
Marriage Equality US,2015-06-26,2015,political,-3.9288411551743274
Ferguson Protests,2014-08-09,2014,political,-2.3287143100708096
Me Too Movement,2017-10-15,2017,political,-0.393716162918591
March For Our Lives,2018-03-24,2018,political,2.9300063696479395
George Floyd Death,2020-05-25,2020,political,5.945203692343461
BLM Protests,2020-06-06,2020,political,8.162879350808685
Roe v Wade Overturned,2022-06-24,2022,political,12.426679380258516
EPA Created,1970-12-02,1970,political,6.985341152423994
DDT Banned,1972-06-14,1972,political,1.246257462482143
Love Canal,1978-08-07,1978,disaster,13.655058729455542
Three Mile Island,1979-03-28,1979,disaster,-3.7862013068595366
Bhopal Gas Tragedy,1984-12-03,1984,disaster,12.045841668275484
Chernobyl,1986-04-26,1986,disaster,8.820687196861394
Montreal Protocol,1987-09-16,1987,political,0.23210162844230364
Exxon Valdez,1989-03-24,1989,disaster,-1.244195382845402
Rio Earth Summit,1992-06-03,1992,political,-3.482500662657601
Kyoto Protocol,1997-12-11,1997,political,10.355062543230348
Deepwater Horizon,2010-04-20,2010,disaster,-1.9649277723288012
Fukushima,2011-03-11,2011,disaster,6.346361091041742
Paris Climate Agreement,2015-12-12,2015,political,4.658273819764709
US Leaves Paris Agreement,2017-06-01,2017,political,-3.8128645910564134
Greta Thunberg School Strike,2018-08-20,2018,political,3.332425535154069
Global Climate Strike,2019-09-20,2019,political,-2.8903477483829914
US Rejoins Paris Agreement,2021-02-19,2021,political,11.641876848530071
COP26 Glasgow,2021-11-01,2021,political,0.4274959885802437
Inflation Reduction Act,2022-08-16,2022,political,6.891590298459326
